2020-11-14 21:10:35, INFO: Current git head hash code: %s
2020-11-14 21:10:35, INFO: Using device: cpu
2020-11-14 21:10:35, INFO: Policy: SARL w/ global state
2020-11-14 21:10:35, INFO: human number: 5
2020-11-14 21:10:35, INFO: Not randomize human's radius and preferred speed
2020-11-14 21:10:35, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2020-11-14 21:10:35, INFO: Square width: 10.0, circle width: 4.0
2020-11-14 21:10:35, INFO: Current learning rate: 0.010000
2020-11-14 21:13:13, INFO: TRAIN has success rate: 0.89, collision rate: 0.09, nav time: 12.18, total reward: 0.2416
2020-11-14 21:18:01, INFO: Finish imitation learning. Weights saved.
2020-11-14 21:18:01, INFO: Experience set size: 100000/100000
2020-11-14 21:18:01, INFO: Agent is invisible and has holonomic kinematic constraint
2020-11-14 21:18:01, INFO: Current learning rate: 0.001000
2020-11-14 21:27:56, INFO: VAL   in episode 0 has success rate: 0.97, collision rate: 0.03, nav time: 10.48, total reward: 0.2875
2020-11-14 21:27:56, INFO: Frequency of being in danger: 1.80 and average min separate distance in danger: 0.08
2020-11-14 21:28:01, INFO: TRAIN in episode 0 has success rate: 1.00, collision rate: 0.00, nav time: 17.25, total reward: 0.1668
2020-11-14 21:28:08, INFO: TRAIN in episode 1 has success rate: 1.00, collision rate: 0.00, nav time: 20.75, total reward: 0.1153
2020-11-14 21:28:15, INFO: TRAIN in episode 2 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1122
2020-11-14 21:28:22, INFO: TRAIN in episode 3 has success rate: 1.00, collision rate: 0.00, nav time: 20.75, total reward: 0.1153
2020-11-14 21:28:29, INFO: TRAIN in episode 4 has success rate: 1.00, collision rate: 0.00, nav time: 19.50, total reward: 0.1312
2020-11-14 21:28:35, INFO: TRAIN in episode 5 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1351
2020-11-14 21:28:38, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1300
2020-11-14 21:28:45, INFO: TRAIN in episode 7 has success rate: 1.00, collision rate: 0.00, nav time: 23.50, total reward: 0.0863
